# lattitude, longitude, altitude meters, cumulative distance meters
-12.65449,131.07725,40.5174294,44618.6559473
-12.67638,131.08088,53.3164368,47084.3656095
-12.68249,131.08198,56.5467529,47774.1668437
-12.68347,131.0822,54.3580017,47885.7207068
-12.69187,131.08447,57.1179771,48851.6733038
-12.69331,131.08475,58.0078239,49014.6493965
-12.72683,131.0889,54.9622688,52768.9879708
-12.73313,131.08971,44.2547722,53475.0034446
-12.73532,131.09009,45.0,53721.9834564
-12.73738,131.09061,43.6922798,53957.8859814
-12.73903,131.09117,45.4896317,54151.1494402
-12.74078,131.09188,49.463131,54360.4230591
-12.74185,131.09239,52.7078667,54491.6306131
-12.74844,131.09578,59.135025,55311.4688493
-12.75306,131.09823,60.6393089,55889.8374753
-12.7694,131.10672,58.4268494,57926.7354591
-12.77179,131.10815,47.9722328,58234.4277605
-12.77327,131.10919,42.9800339,58433.933109
-12.7746,131.11026,40.5407219,58621.90941
-12.7756,131.11115,38.6491699,58769.1479974
-12.77638,131.11193,36.0678024,58890.2967832
-12.77809,131.11387,33.4043274,59173.8681209
-12.78319,131.12033,36.2814865,60075.1600664
-12.78365,131.12085,35.7578964,60151.2908951
-12.78432,131.12145,33.9860229,60250.2027242
-12.78519,131.12208,32.3410797,60368.6325963
-12.78602,131.12254,30.9996548,60473.5417278
-12.78681,131.12288,32.3894348,60568.8090983
-12.78753,131.12311,31.6660957,60652.6642706
-12.78858,131.12333,33.3393135,60771.8312527
-12.7895,131.12344,34.6789474,60874.8236693
-12.79013,131.12345,35.8738327,60944.8848258
-12.80588,131.12245,38.7471619,62699.558496
-12.80631,131.12244,38.8452454,62747.3845963
-12.80716,131.12252,38.9976845,62842.2975344
-12.80807,131.12272,40.3965378,62945.7825832
-12.80933,131.12326,39.9389076,63097.6305759
-12.81081,131.12414,41.8537445,63287.8594045
-12.82274,131.1315,49.687355,64835.9419818
-12.82376,131.13202,48.269516,64962.6007911
-12.82469,131.13239,47.349308,65073.5204892
-12.82568,131.1326,46.7913589,65185.9334232
-12.82667,131.13271,46.2985535,65296.6605437
-12.83107,131.1327,43.3932037,65785.9194181
-12.83224,131.1328,40.7323952,65916.4685015
-12.83298,131.13295,39.6468735,66000.3444148
-12.83426,131.13337,36.1765518,66149.7804748
-12.85879,131.14225,48.692234,69042.2961277
-12.86011,131.14262,53.394722,69194.4553183
-12.86136,131.14276,56.7572975,69334.2751279
-12.86236,131.14275,58.0046654,69445.475327
-12.86306,131.14268,57.6575089,69523.6808681
-12.87071,131.14106,58.6285439,70392.2602892
-12.87191,131.14089,57.1481209,70526.9606979
-12.87368,131.1408,52.3200951,70724.0173359
-12.87578,131.14091,50.4934273,70957.8309293
-12.88765,131.14229,51.5921707,72286.1642774
-12.88908,131.14226,51.8065071,72445.2062911
-12.89038,131.14204,54.1126633,72591.7134192
-12.89741,131.14017,53.8464546,73399.2647998
-12.89978,131.13944,53.0,73674.4187729
-12.90272,131.13866,53.0,74012.0866794
-12.9034,131.1385,52.7344475,74089.6624701
-12.90447,131.13837,53.899456,74209.4725087
-12.90554,131.13837,55.867485,74328.4510965
-12.90639,131.13847,56.8841858,74423.5862602
-12.90736,131.13869,57.5245438,74534.0495886
-12.91001,131.13945,60.0,74840.0129607
-12.91122,131.13965,60.6024742,74976.2938292
-12.91244,131.13968,60.0030441,75111.9905796
-12.91331,131.1396,60.2984047,75209.1179267
-12.91402,131.13946,62.4900131,75289.5112537
-12.91547,131.139,68.6004181,75458.2760696
-12.9163,131.1386,70.0978241,75560.2428554
-12.93073,131.13077,69.5759277,77375.3690503
-12.93196,131.13027,71.017868,77522.4821003
-12.93455,131.12943,70.6075058,77824.5222831
-12.93606,131.12876,74.6560059,78007.4541776
-12.93713,131.12816,76.8226471,78143.0416596
-12.94297,131.12434,75.7132874,78913.1518994
-12.94434,131.12362,76.3438721,79084.3086837
-12.94584,131.12299,76.1359024,79264.5330392
-12.94744,131.1225,80.1336823,79450.200174
-12.94827,131.12231,82.0737381,79544.7608777
-12.96381,131.11916,97.9902496,81306.1226477
-12.96444,131.11895,97.9687119,81379.7787356
-12.96538,131.11851,99.2051163,81494.6627635
-12.96703,131.1175,98.8514404,81708.2972447
-12.96783,131.11708,98.912117,81808.2192052
-12.96892,131.11669,95.6160355,81936.577872
-12.97018,131.11641,91.216362,82079.9309893
-12.97177,131.11632,85.4713974,82256.9996742
-12.97735,131.11666,86.9663315,82878.5601527
-12.97902,131.11681,84.2535782,83064.9656043
-12.99484,131.11787,71.9536285,84827.8146894
-12.99634,131.11799,71.6532593,84995.1130967
-12.99759,131.11818,69.7324142,85135.6229503
-12.99913,131.11856,67.6179733,85311.7430249
-13.00073,131.11919,72.0063553,85502.2993345
-13.0066,131.1226,73.601738,86252.3192765
-13.00773,131.12302,73.3959503,86385.9552683
-13.00833,131.12318,70.2852325,86454.8874475
-13.00919,131.12332,68.4027863,86551.7106078
-13.01033,131.12335,63.0188942,86678.5144951
-13.01139,131.12325,59.2853775,86796.877988
-13.01259,131.12296,55.5492172,86933.9609423
-13.01627,131.1219,56.8188515,87358.9673666
-13.01744,131.12172,58.9582138,87490.5188154
-13.01838,131.1217,57.0125389,87595.0644776
-13.01927,131.12178,57.7046623,87694.4066805
-13.02119,131.12221,57.3996239,87912.9242281
-13.02203,131.12233,55.8267593,88007.2283391
-13.0231,131.12234,56.2166672,88126.2118127
-13.02415,131.12222,57.8528938,88243.6880202
-13.03508,131.11983,70.2454147,89486.3213269
-13.0366,131.11942,70.1594467,89661.076015
-13.03767,131.11901,68.390152,89788.0743238
-13.03922,131.11823,64.7893448,89980.0243875
-13.05969,131.10708,63.1157379,92556.7858244
-13.06025,131.10678,63.3404312,92627.0240881
-13.06117,131.1064,62.0682869,92737.2936742
-13.06215,131.10614,63.9168663,92849.8450654
-13.06262,131.10607,65.4440842,92902.6539289
-13.07435,131.10469,64.0,94215.5073877
-13.0749,131.10464,64.6827316,94276.9038879
-13.07584,131.10465,64.9288254,94381.4326951
-13.07646,131.10471,64.0248337,94450.6791939
-13.0777,131.10499,67.6065445,94591.8567282
-13.07864,131.10535,70.8727036,94703.415964
-13.08551,131.10858,72.1525345,95543.6207107
-13.08698,131.10908,70.4370422,95715.814395
-13.08798,131.10933,70.8011322,95830.2585325
-13.08907,131.10951,70.723465,95953.0188667
-13.0897,131.10958,70.1652222,96023.4807504
-13.09131,131.10962,70.7559662,96202.5570095
-13.09237,131.10955,70.1215286,96320.6672037
-13.10163,131.10837,74.6403427,97358.2326795
-13.10297,131.10824,80.1451874,97507.897567
-13.10391,131.10823,80.3930511,97612.4263742
-13.10814,131.10851,79.6069183,98083.7573838
-13.10984,131.10851,80.6069183,98272.7887483
-13.11129,131.10836,81.1165237,98434.837629
-13.11445,131.10773,81.4885101,98792.7760092
-13.12653,131.10674,70.0905762,100140.282347
-13.12757,131.10669,69.52108,100256.051768
-13.1288,131.10674,69.3957748,100392.92865
-13.12986,131.10686,70.5070267,100511.50945
-13.13207,131.10722,71.9497833,100760.323148
-13.13308,131.10733,70.1828079,100873.259928
-13.13413,131.10736,67.0350342,100990.059747
-13.15413,131.10627,60.7485428,103217.088053
-13.15733,131.10605,60.0485687,103573.708277
-13.15865,131.10586,59.9174652,103721.920308
-13.15985,131.10561,60.1613159,103858.072122
-13.1614,131.10519,60.9731293,104036.322669
-13.16683,131.10313,60.0349693,104679.990528
-13.16865,131.10258,61.6910248,104890.944664
-13.18054,131.10068,58.3890343,106228.960065
-13.1816,131.10058,57.787571,106347.322911
-13.18214,131.10056,57.059391,106407.407206
-13.18362,131.10065,59.4497643,106572.263874
-13.19243,131.10221,58.5730858,107566.342967
-13.19615,131.10278,59.6149635,107984.565594
-13.19776,131.10292,57.6023254,108164.229861
-13.20004,131.10296,56.8319664,108417.79129
-13.20103,131.10292,58.0370865,108527.959398
-13.20308,131.10273,60.4324493,108756.835132
-13.21988,131.09958,55.3544998,110655.776938
-13.22089,131.09945,60.5946045,110768.962032
-13.22198,131.09941,61.8046608,110890.241791
-13.22294,131.09946,58.3970604,110997.126079
-13.22364,131.09956,55.8752632,111075.711635
-13.23431,131.10136,58.6939011,112278.053404
-13.23535,131.10162,59.0518684,112397.071338
-13.23598,131.1019,58.0195923,112473.399259
-13.23675,131.10244,58.1932411,112577.067996
-13.2372,131.10292,57.9674988,112649.20077
-13.23953,131.1062,58.1862679,113088.71065
-13.24072,131.10816,52.4894562,113338.743174
-13.24174,131.1103,56.5043411,113596.651488
-13.24238,131.11229,54.656929,113823.49759
-13.24252,131.11287,54.9920883,113888.1771
-13.24284,131.11462,54.1373329,114080.906908
-13.24345,131.11884,52.2319908,114542.679565
-13.24386,131.12067,52.1578979,114745.9334
-13.24445,131.12264,52.0,114969.025513
-13.24502,131.12418,51.0,115147.354262
-13.24593,131.12619,50.0,115387.290771
-13.24741,131.12901,49.5050659,115734.055745
-13.24911,131.13191,49.1839142,116100.464772
-13.25144,131.13525,49.7416039,116545.222813
-13.25328,131.13759,51.0,116870.806625
-13.25493,131.13949,51.2451744,117146.398285
-13.2563,131.14093,50.8422356,117364.336875
-13.27537,131.16026,52.6679535,120343.113571
-13.27675,131.16173,52.5166283,120564.146657
-13.27763,131.16277,53.9004288,120713.286838
-13.27848,131.16389,54.013649,120866.990574
-13.27949,131.16541,53.312088,121066.1694
-13.28032,131.16683,54.0715904,121245.428008
-13.28117,131.16853,55.0018387,121452.262154
-13.28159,131.16947,54.7767029,121564.197755
-13.28201,131.17058,54.3310051,121693.081679
-13.28283,131.17314,58.6362534,121984.744608
-13.28525,131.18242,63.5399628,123024.449289
-13.28546,131.18312,65.884697,123103.719922
-13.28601,131.18439,68.9100342,123254.150706
-13.28642,131.18509,64.7433548,123342.564372
-13.28739,131.18642,60.9166641,123522.424224
-13.29657,131.19883,59.1449547,125209.290466
-13.29778,131.20035,66.4552612,125421.794389
-13.29885,131.20152,69.7915344,125595.53527
-13.30051,131.20312,69.2584305,125848.613651
-13.3023,131.20456,70.3266602,126101.394138
-13.30395,131.20568,68.8394928,126321.281442
-13.30499,131.20631,68.2423859,126455.522841
-13.30695,131.20733,64.3494415,126699.820195
-13.30841,131.20794,64.3203278,126875.070807
-13.30983,131.20846,65.5089722,127042.694017
-13.3121,131.2091,64.1543808,127304.434387
-13.31411,131.20949,61.5393562,127531.885373
-13.33071,131.21194,65.5288544,129396.660358
-13.33329,131.21226,63.47649,129685.625035
-13.33576,131.21235,62.9550018,129960.449064
-13.33802,131.21227,62.8448868,130211.898619
-13.34769,131.21135,70.2254333,131291.750916
-13.3485,131.21131,72.6837234,131381.922709
-13.35035,131.21131,77.7773438,131587.633305
-13.35181,131.21142,76.0,131750.413515
-13.35321,131.2116,78.2789536,131907.299718
-13.35472,131.21191,79.763092,132078.52089
-13.35621,131.2123,77.6020203,132249.489531
-13.358,131.21293,74.9613037,132459.874826
-13.35958,131.21361,71.7587814,132650.343498
-13.36081,131.21425,70.3439484,132803.640519
-13.3629,131.21555,66.6384354,133075.280484
-13.36391,131.2163,67.0,133213.830966
-13.36505,131.21724,66.2648163,133376.342699
-13.3666,131.21874,68.5895386,133613.06683
-13.36821,131.22064,69.0385284,133885.645083
-13.36955,131.22255,69.8149414,134140.392241
-13.3705,131.22418,75.2132111,134345.947484
-13.3709,131.225,72.7956619,134445.181849
-13.37181,131.22714,66.2471466,134697.83607
-13.37214,131.22812,66.5903778,134810.023486
-13.37608,131.24169,64.3284225,136341.997826
-13.37655,131.24307,65.5870285,136500.167468
-13.37752,131.24533,66.0,136767.385054
-13.37883,131.24767,68.2733612,137059.439762
-13.37962,131.24882,69.9481659,137211.731693
-13.38091,131.25049,72.017662,137442.408215
-13.39236,131.26445,85.6647186,139417.607182
-13.39416,131.26684,79.7430038,139744.558518
-13.39596,131.26943,79.2807693,140088.869605
-13.40963,131.29006,72.8025818,142788.866669
-13.411,131.29198,70.9751282,143046.421951
-13.41261,131.29409,68.4780426,143336.482535
-13.41481,131.29674,68.5400696,143713.310032
-13.41647,131.29858,71.5670395,143984.747581
-13.41823,131.3004,75.446785,144262.326461
-13.4206,131.30265,78.09021,144621.035398
-13.42229,131.30415,71.8450699,144869.298554
-13.42419,131.30574,69.9053726,145141.711599
-13.42557,131.30682,70.652092,145334.561178
-13.42839,131.30885,74.0662918,145717.354497
-13.43174,131.31102,74.0,146157.627215
-13.43574,131.3133,75.8167419,146666.188456
-13.45715,131.32404,100.790329,149315.099216
-13.46533,131.32809,105.7934341,150324.624526
-13.46725,131.32935,102.4386826,150577.892917
-13.46828,131.3302,98.6066971,150724.746439
-13.4697,131.33165,93.7933502,150947.270707
-13.47016,131.3322,92.8702164,151025.715302
-13.47094,131.3333,91.0189133,151172.927535
-13.47167,131.33452,89.3732834,151327.825115
-13.47233,131.33594,90.7436218,151498.013683
-13.47258,131.33659,91.8364105,151573.598994
-13.47315,131.33861,93.6102524,151801.041085
-13.47692,131.35632,82.917923,153761.437629
-13.47741,131.35841,83.9009247,153993.910623
-13.47796,131.35993,83.9380875,154169.281585
-13.4785,131.36107,83.9767075,154306.398986
-13.47908,131.36202,85.3330383,154427.691676
-13.4796,131.36274,85.2341537,154524.669558
-13.48061,131.36392,85.4774246,154694.650142
-13.48154,131.36477,85.9156799,154833.003349
-13.48233,131.36538,87.0,154942.854401
-13.48311,131.36589,87.4437103,155045.633689
-13.49801,131.37403,96.0,156921.711981
-13.50002,131.37537,99.4937134,157188.06644
-13.50187,131.37685,101.8067932,157448.687851
-13.50382,131.37873,102.2199631,157745.896868
-13.50498,131.38006,99.7910385,157939.070325
-13.50592,131.38126,98.4216232,158105.679582
-13.50837,131.38475,104.8211594,158571.082285
-13.50957,131.38633,109.6303253,158787.846141
-13.51076,131.38775,111.6611557,158990.52771
-13.51222,131.38934,110.404747,159226.975748
-13.51375,131.39088,109.1619644,159465.021517
-13.51505,131.39206,108.2866058,159657.820826
-13.52666,131.40212,116.626442,161345.874438
-13.52877,131.40407,122.5076752,161661.294662
-13.53052,131.40593,128.9436951,161941.116191
-13.54394,131.42099,160.0010223,164149.596783
-13.54523,131.42232,159.6964722,164352.690458
-13.54655,131.42337,159.8378906,164538.236634
-13.54743,131.42393,160.294342,164653.300173
-13.54846,131.42448,159.7614899,164782.343786
-13.54934,131.42487,159.5012512,164888.891055
-13.55287,131.42603,147.5324249,165300.952267
-13.55375,131.42639,145.9398041,165406.258238
-13.55473,131.4269,145.7115173,165528.381161
-13.55582,131.42763,144.9261627,165673.008288
-13.55675,131.42844,145.758194,165808.508863
-13.55758,131.42933,142.8737488,165941.825675
-13.55851,131.43065,136.7345734,166118.045689
-13.56011,131.43361,135.5209045,166484.145519
-13.56051,131.43426,132.241394,166567.302121
-13.56103,131.43496,130.9449615,166662.53202
-13.56155,131.43555,129.1226349,166748.617347
-13.56245,131.43642,128.4110718,166885.945513
-13.56375,131.43737,127.2586746,167063.260965
-13.56484,131.43796,125.6692047,167200.218286
-13.56846,131.43936,118.9957962,167630.250194
-13.57002,131.44011,115.6915665,167821.723111
-13.57145,131.44104,112.2386246,168009.842452
-13.5728,131.44217,113.4397354,168203.368936
-13.57674,131.44577,118.3144531,168789.331645
-13.57806,131.44704,114.4068069,168990.296598
-13.57909,131.44828,111.4592361,169166.5939
-13.57988,131.44945,115.0182877,169320.571169
-13.58055,131.45073,117.2207184,169477.705291
-13.58093,131.45163,121.0540543,169583.763231
-13.58131,131.45282,124.5771255,169719.14799
-13.58162,131.45414,127.2335281,169865.926004
-13.58222,131.45803,134.822403,170291.638502
-13.58223,131.45897,133.5471954,170393.244732
-13.58206,131.46018,130.4768372,170525.38696
-13.58173,131.46121,128.4981232,170642.606337
-13.58113,131.46236,125.193634,170783.678113
-13.5804,131.46329,129.3270416,170912.880241
-13.5789,131.46469,141.2226868,171138.086258
-13.57817,131.46554,150.2539368,171260.682174
-13.57706,131.46742,137.0644684,171498.434185
-13.57647,131.46825,133.0890961,171609.575568
-13.57577,131.46902,131.4285583,171723.528973
-13.57509,131.46962,132.6651917,171823.144061
-13.57226,131.47141,144.3381042,172192.547455
-13.57141,131.4721,149.3253326,172312.945551
-13.57063,131.47292,149.5878448,172436.9554
-13.57004,131.47371,150.2070465,172544.638898
-13.56932,131.47508,153.4535675,172712.979955
-13.56909,131.47566,153.0801392,172780.688592
-13.56882,131.4767,150.2396698,172897.043526
-13.56867,131.47825,147.7222595,173065.413331
-13.56879,131.47984,146.0,173237.795835
-13.56917,131.48154,142.2575378,173426.346515
-13.56928,131.48243,146.5529938,173523.32212
-13.56924,131.48824,175.3888397,174151.347417
-13.56934,131.48907,182.2544403,174241.749551
-13.56955,131.48995,184.5290833,174339.693981
-13.57011,131.49124,186.0704651,174492.40348
-13.57045,131.49179,189.0937195,174562.856345
-13.5711,131.49259,192.0633545,174675.55678
-13.572,131.4934,190.258667,174808.525247
-13.57293,131.49398,185.0694733,174929.455714
-13.57345,131.49422,183.7991943,174992.829772
-13.57417,131.49447,183.4580994,175077.327467
-13.57535,131.4947,183.5527191,175210.871875
-13.58168,131.4948,171.9245605,175914.818748
-13.58294,131.49494,170.023468,176055.739126
-13.58373,131.4951,168.6399384,176145.269203
-13.58542,131.4957,164.6063538,176344.06383
-13.58607,131.49601,165.0082092,176423.72914
-13.58698,131.49655,167.0251617,176540.542463
-13.58845,131.49773,171.6146545,176747.868026
-13.58901,131.49829,172.1650238,176834.706116
-13.5896,131.499,171.903656,176935.665376
-13.59032,131.50007,169.2850037,177076.320919
-13.59096,131.50129,168.2732391,177226.158506
-13.59886,131.51946,174.1020966,179377.479406
-13.59947,131.52069,171.8428345,179526.719325
-13.59985,131.52134,174.5574951,179608.69792
-13.6009,131.52278,173.1373291,179803.25537
-13.60203,131.52398,172.0680695,179983.832064
-13.60272,131.52459,170.4696808,180084.990068
-13.60377,131.52538,168.5434113,180229.632243
-13.60469,131.52595,169.1039124,180349.047754
-13.60634,131.52674,173.811203,180551.41229
-13.61197,131.52906,186.3055878,181225.782739
-13.61315,131.52959,189.694397,181368.949827
-13.61379,131.52993,191.7138977,181449.040735
-13.61499,131.53071,193.043457,181606.870604
-13.61605,131.53158,188.4609375,181757.643519
-13.6167,131.53219,188.7372742,181855.46839
-13.62748,131.54457,219.9728851,183651.779333
-13.6286,131.54599,219.3539734,183849.408061
-13.62908,131.54672,218.8197327,183944.654332
-13.62979,131.54801,219.3398895,184104.859863
-13.63039,131.54946,219.3883972,184275.163997
-13.63085,131.55097,220.0050964,184446.168349
-13.63122,131.55312,213.6485138,184682.118339
-13.6313,131.55595,207.4772949,184988.065553
-13.63145,131.57181,223.0891724,186702.02269
-13.6314,131.5734,217.8787231,186873.932402
-13.6313,131.5746,215.380188,187004.083606
-13.63102,131.57646,220.4546661,187207.477669
-13.63067,131.57804,221.3677826,187382.596576
-13.63045,131.57884,223.4931793,187472.441589
-13.62968,131.58106,229.7618408,187727.163343
-13.62513,131.59127,232.8649139,188940.971679
-13.62462,131.59252,230.3576202,189087.474778
-13.62395,131.59456,233.3694611,189320.177654
-13.62354,131.59622,234.2497253,189505.270154
-13.62331,131.59741,233.9976501,189636.387658
-13.62306,131.59947,232.2457581,189860.733688
-13.62295,131.60162,235.5712433,190093.398702
-13.623,131.60347,230.802536,190293.39928
-13.62309,131.60459,225.7275848,190414.846945
-13.62474,131.61566,220.953125,191625.12734
-13.62515,131.61769,227.5967865,191849.187938
-13.62582,131.62021,232.4403229,192131.519768
-13.62618,131.62134,232.5316467,192260.027274
-13.62714,131.62388,228.6756287,192554.53868
-13.62798,131.62572,234.7280579,192774.222795
-13.62954,131.62858,229.6431122,193128.637433
-13.63629,131.63896,221.4105377,194478.276321
-13.63791,131.6415,214.9278259,194806.581441
-13.63837,131.64235,213.5072479,194911.714001
-13.63907,131.64382,211.7971802,195088.606613
-13.63978,131.6456,208.9020233,195296.523759
-13.64225,131.65327,210.0137787,196169.653677
-13.64301,131.65506,210.4002533,196380.732251
-13.64396,131.65683,208.4748688,196599.226391
-13.64485,131.65826,202.7406921,196782.721882
-13.64979,131.66484,206.9292603,197681.199544
-13.65141,131.66715,200.8785858,197989.016747
-13.65203,131.66815,201.7168884,198117.190053
-13.65257,131.66917,200.9995117,198242.699508
-13.65349,131.67127,199.1504364,198491.604688
-13.65441,131.67369,196.7698822,198772.390352
-13.65494,131.67468,196.70401,198894.521652
-13.6556,131.67559,197.4770203,199017.216958
-13.65621,131.67627,197.2236633,199117.21371
-13.66083,131.68101,196.2847137,199842.620764
-13.66756,131.68719,201.2618561,200845.559368
-13.66864,131.68806,204.219986,200998.06423
-13.66967,131.6888,207.1032867,201137.742027
-13.671,131.6896,209.7854156,201309.038297
-13.67302,131.69059,210.1500092,201557.820498
-13.67468,131.69121,207.5634155,201754.183256
